year,prop_disrupted_baseline_mean,prop_disrupted_baseline_lower,prop_disrupted_baseline_upper,prop_disrupted_hiud25_mean,prop_disrupted_hiud25_lower,prop_disrupted_hiud25_upper,prop_disrupted_hiud50_mean,prop_disrupted_hiud50_lower,prop_disrupted_hiud50_upper,prop_disrupted_hiud100_mean,prop_disrupted_hiud100_lower,prop_disrupted_hiud100_upper
2020.0,20.37037037037037,11.574074074074073,29.166666666666664,20.37037037037037,11.574074074074073,29.166666666666664,20.37037037037037,11.574074074074073,29.166666666666664,20.37037037037037,11.574074074074073,29.166666666666664
2020.0833333333333,9.472934472934472,7.510683760683761,11.435185185185185,9.472934472934472,7.510683760683761,11.435185185185185,9.472934472934472,7.510683760683761,11.435185185185185,9.472934472934472,7.510683760683761,11.435185185185185
2020.0833333333333,32.69230769230769,30.865384615384617,34.51923076923077,32.69230769230769,30.865384615384617,34.51923076923077,32.69230769230769,30.865384615384617,34.51923076923077,32.69230769230769,30.865384615384617,34.51923076923077
2020.25,15.384615384615385,15.384615384615385,15.384615384615385,15.384615384615385,15.384615384615385,15.384615384615385,15.384615384615385,15.384615384615385,15.384615384615385,15.384615384615385,15.384615384615385,15.384615384615385
2020.3333333333333,17.165242165242166,7.895299145299145,26.435185185185183,17.165242165242166,7.895299145299145,26.435185185185183,17.165242165242166,7.895299145299145,26.435185185185183,17.165242165242166,7.895299145299145,26.435185185185183
2020.4166666666667,17.555555555555554,11.433333333333334,23.677777777777777,17.555555555555554,11.433333333333334,23.677777777777777,17.555555555555554,11.433333333333334,23.677777777777777,17.555555555555554,11.433333333333334,23.677777777777777
2020.5,11.76923076923077,11.55,11.988461538461538,11.76923076923077,11.55,11.988461538461538,11.76923076923077,11.55,11.988461538461538,11.76923076923077,11.55,11.988461538461538
2020.5833333333333,13.692307692307693,12.084615384615384,15.299999999999999,13.692307692307693,12.084615384615384,15.299999999999999,13.692307692307693,12.084615384615384,15.299999999999999,13.692307692307693,12.084615384615384,15.299999999999999
2020.6666666666667,15.0997150997151,14.82905982905983,15.37037037037037,15.0997150997151,14.82905982905983,15.37037037037037,15.0997150997151,14.82905982905983,15.37037037037037,15.0997150997151,14.82905982905983,15.37037037037037
2020.75,5.877616747181964,4.4243156199677935,7.330917874396135,5.877616747181964,4.4243156199677935,7.330917874396135,5.877616747181964,4.4243156199677935,7.330917874396135,5.877616747181964,4.4243156199677935,7.330917874396135
2020.8333333333333,15.17857142857143,12.633928571428571,17.72321428571429,15.17857142857143,12.633928571428571,17.72321428571429,15.17857142857143,12.633928571428571,17.72321428571429,15.17857142857143,12.633928571428571,17.72321428571429
2020.9166666666667,12.681159420289855,8.894927536231883,16.467391304347824,12.681159420289855,8.894927536231883,16.467391304347824,12.681159420289855,8.894927536231883,16.467391304347824,12.681159420289855,8.894927536231883,16.467391304347824
2021.0,27.66830870279146,17.76272577996716,37.573891625615765,27.66830870279146,17.76272577996716,37.573891625615765,27.66830870279146,17.76272577996716,37.573891625615765,27.66830870279146,17.76272577996716,37.573891625615765
2021.0833333333333,12.844827586206897,5.392241379310345,20.29741379310345,12.844827586206897,5.392241379310345,20.29741379310345,12.844827586206897,5.392241379310345,20.29741379310345,12.844827586206897,5.392241379310345,20.29741379310345
2021.0833333333333,6.666666666666667,0.33333333333333337,13.0,6.666666666666667,0.33333333333333337,13.0,6.666666666666667,0.33333333333333337,13.0,6.666666666666667,0.33333333333333337,13.0
2021.25,7.738095238095238,4.910714285714286,10.56547619047619,7.738095238095238,4.910714285714286,10.56547619047619,7.738095238095238,4.910714285714286,10.56547619047619,7.738095238095238,4.910714285714286,10.56547619047619
2021.3333333333333,8.24915824915825,7.449494949494949,9.048821548821548,8.24915824915825,7.449494949494949,9.048821548821548,8.24915824915825,7.449494949494949,9.048821548821548,8.24915824915825,7.449494949494949,9.048821548821548
2021.4166666666667,12.373737373737374,11.174242424242424,13.573232323232324,12.373737373737374,11.174242424242424,13.573232323232324,12.373737373737374,11.174242424242424,13.573232323232324,12.373737373737374,11.174242424242424,13.573232323232324
2021.5,8.041958041958042,4.720279720279721,11.363636363636365,8.041958041958042,4.720279720279721,11.363636363636365,8.041958041958042,4.720279720279721,11.363636363636365,8.041958041958042,4.720279720279721,11.363636363636365
2021.5833333333333,12.454212454212454,9.67032967032967,15.238095238095239,12.454212454212454,9.67032967032967,15.238095238095239,12.454212454212454,9.67032967032967,15.238095238095239,12.454212454212454,9.67032967032967,15.238095238095239
2021.6666666666667,5.0,0.25000000000000006,9.75,5.0,0.25000000000000006,9.75,5.0,0.25000000000000006,9.75,5.0,0.25000000000000006,9.75
2021.75,18.369565217391305,15.168478260869565,21.570652173913043,18.369565217391305,15.168478260869565,21.570652173913043,18.369565217391305,15.168478260869565,21.570652173913043,18.369565217391305,15.168478260869565,21.570652173913043
2021.8333333333333,6.2727272727272725,4.631818181818182,7.913636363636364,6.2727272727272725,4.631818181818182,7.913636363636364,6.2727272727272725,4.631818181818182,7.913636363636364,6.2727272727272725,4.631818181818182,7.913636363636364
2021.9166666666667,4.356060606060606,4.176136363636363,4.535984848484849,4.356060606060606,4.176136363636363,4.535984848484849,4.356060606060606,4.176136363636363,4.535984848484849,4.356060606060606,4.176136363636363,4.535984848484849
2022.0,8.630952380952381,4.955357142857142,12.306547619047619,8.630952380952381,4.955357142857142,12.306547619047619,8.630952380952381,4.955357142857142,12.306547619047619,8.630952380952381,4.955357142857142,12.306547619047619
